Date,Sentiment,Daily Change,Direction
29/11/2015,0.8,-0.3375015,DOWN
30/11/2015,0.5,-0.3375015,DOWN
01/12/2015,0.466666667,6.930007,UP
02/12/2015,0.198958333,-5.199997,DOWN
03/12/2015,0.233333333,0.720002,UP
04/12/2015,0.375,-2.330002,DOWN
05/12/2015,0,0.375,UP
06/12/2015,0.25,0.1875,UP
07/12/2015,0.1,0.1875,UP
08/12/2015,0.083333333,-4.410004,DOWN
09/12/2015,0.225,-2.199997,DOWN
10/12/2015,0.06043771,2.550003,UP
11/12/2015,0.017045455,-10.050003,DOWN
12/12/2015,0,0.779999,UP
13/12/2015,0.025,0.3899995,UP
14/12/2015,0,0.3899995,UP
15/12/2015,0.225,2.509994,UP
16/12/2015,0,13.419999,UP
17/12/2015,0,-1.119996,DOWN
18/12/2015,0.110740741,-2.929992,DOWN
19/12/2015,0.226666667,1.0499955,UP
20/12/2015,0.158333333,0.52499775,UP
21/12/2015,0.125,0.52499775,UP
22/12/2015,0.121818182,-2.610001,DOWN
23/12/2015,0.142045455,-0.25,DOWN
24/12/2015,-0.15,0.87001,UP
25/12/2015,-0.035714286,-0.810005,DOWN
26/12/2015,0,-0.4050025,DOWN
27/12/2015,0,-0.20250125,DOWN
28/12/2015,0.1,-0.20250125,DOWN
29/12/2015,0,8.240005,UP
30/12/2015,0.009090909,0.899994,UP
31/12/2015,0.034090909,1.919999,UP
01/01/2016,0.15,-8.2999955,DOWN
02/01/2016,0.2,-4.14999775,DOWN
03/01/2016,0,-2.074998875,DOWN
04/01/2016,0.25,-2.074998875,DOWN
05/01/2016,0.128787879,0.019989,UP
06/01/2016,0,-4.39,DOWN
07/01/2016,0.169444444,-3.389999,DOWN
08/01/2016,0,-4.649994,DOWN
09/01/2016,0.2,-1.574997,DOWN
10/01/2016,0.21,-0.7874985,DOWN
11/01/2016,0.025,-0.7874985,DOWN
12/01/2016,0.08,2.119995,UP
13/01/2016,-0.083333333,-9.660003,DOWN
14/01/2016,0,5.869995,UP
15/01/2016,0,-1.189988,DOWN
16/01/2016,0.227160494,-0.135002,DOWN
17/01/2016,0.110708333,-0.067501,DOWN
18/01/2016,0.1,-0.0337505,DOWN
19/01/2016,0.341666667,-0.0337505,DOWN
20/01/2016,0,-6.020004,DOWN
21/01/2016,0,1.270004,UP
22/01/2016,0.175,2.580002,UP
23/01/2016,0.5,-3.084999,DOWN
24/01/2016,0.5,-1.5424995,DOWN
25/01/2016,0,-1.5424995,DOWN
26/01/2016,-0.3,-2.820007,DOWN
27/01/2016,0,-5.489991,DOWN
28/01/2016,0,1.62999,UP
29/01/2016,0,1.5,UP
30/01/2016,0.171428571,2.8700025,UP
31/01/2016,0.5,1.43500125,UP
01/02/2016,0,1.43500125,UP
02/02/2016,0,-14.160003,DOWN
03/02/2016,-0.044444444,-9.300003,DOWN
04/02/2016,0.068181818,1.850006,UP
05/02/2016,0.05,-12.729996,DOWN
06/02/2016,0,-7.3050005,DOWN
07/02/2016,0,-3.65250025,DOWN
08/02/2016,0,-3.65250025,DOWN
09/02/2016,0.275,0.259995,UP
10/02/2016,0.266666667,-4.580002,DOWN
11/02/2016,0.174074074,6.800003,UP
12/02/2016,0,0.569992,UP
13/02/2016,0,2.0650025,UP
14/02/2016,0,1.03250125,UP
15/02/2016,0,0.516250625,UP
16/02/2016,0.228571429,0.516250625,UP
17/02/2016,-0.025,13.509995,UP
18/02/2016,0.214583333,-1.909989,DOWN
19/02/2016,0.025,-0.190002,DOWN
20/02/2016,0,5.5800015,UP
21/02/2016,0.248380952,2.79000075,UP
22/02/2016,0.35,2.79000075,UP
23/02/2016,0,-0.529998,DOWN
24/02/2016,-0.005555556,1.789993,UP
25/02/2016,0,8.429993,UP
26/02/2016,0.3,2.910003,UP
27/02/2016,0.321666667,0.7949985,UP
28/02/2016,0.210416667,0.39749925,UP
29/02/2016,0.025,0.39749925,UP
01/03/2016,0.239214286,-5.579987,DOWN
02/03/2016,0.16,1.98999,UP
03/03/2016,0.175,7.400009,UP
04/03/2016,0,5.299988,UP
05/03/2016,0.254861111,2.125,UP
06/03/2016,0.29,1.0625,UP
07/03/2016,0,1.0625,UP
08/03/2016,0.375,-2.689987,DOWN
09/03/2016,0.15,6.119995,UP
10/03/2016,0.188888889,-3.540008,DOWN
11/03/2016,0,2.320007,UP
12/03/2016,0.138095238,3.824997,UP
13/03/2016,0.35,1.9124985,UP
14/03/2016,0,1.9124985,UP
15/03/2016,0,3.190002,UP
16/03/2016,0.151719577,3.589997,UP
17/03/2016,0,4.450012,UP
18/03/2016,0.108333333,6.36,UP
19/03/2016,0.1,2.790001,UP
20/03/2016,0.095238095,1.3950005,UP
21/03/2016,0.028125,1.3950005,UP
22/03/2016,0.066666667,-4.080002,DOWN
23/03/2016,0.096428571,-11.660003,DOWN
24/03/2016,0,5.169998,UP
25/03/2016,0.155555556,1.2549975,UP
26/03/2016,0,0.62749875,UP
27/03/2016,0,0.31374935,UP
28/03/2016,0,0.62749875,UP
29/03/2016,0.25,-0.12999,DOWN
30/03/2016,0.216666667,-3.240006,DOWN
31/03/2016,0.055341682,2.880005,UP
01/04/2016,0.118543857,7.819992,UP
02/04/2016,0.048503401,4.7000045,UP
03/04/2016,0.120165414,2.35000225,UP
04/04/2016,0.137037037,2.35000225,UP
05/04/2016,0.325,8.479996,UP
06/04/2016,0.105357143,9.950012,UP
07/04/2016,0.108333333,-8.220001,DOWN
08/04/2016,0.175,-7.130005,DOWN
09/04/2016,0.1,-0.0750045,DOWN
10/04/2016,0.025,-0.03750225,DOWN
11/04/2016,0.55,-0.03750225,DOWN
12/04/2016,-0.008333333,-2.099991,DOWN
13/04/2016,1,6.709992,UP
14/04/2016,0.6,-2.669998,DOWN
15/04/2016,0,2.649994,UP
16/04/2016,0,-0.314995,DOWN
17/04/2016,0.1,-0.1574975,DOWN
18/04/2016,0.25,-0.1574975,DOWN
19/04/2016,0,-6.51001,DOWN
20/04/2016,0.138095238,2.600006,UP
21/04/2016,0.357142857,-1.680008,DOWN
22/04/2016,0.2,5.460007,UP
23/04/2016,0,-0.9649965,DOWN
24/04/2016,0.5,-0.48249825,DOWN
25/04/2016,0.068181818,-0.48249825,DOWN
26/04/2016,0,1.919998,UP
27/04/2016,0.032539683,-2.270004,DOWN
28/04/2016,0.375,-3.759994,DOWN
29/04/2016,-0.0125,-6.950012,DOWN
30/04/2016,0.088461539,0.520004,UP
01/05/2016,0.115705128,0.260002,UP
02/05/2016,0.215,0.260002,UP
03/05/2016,0,-9.479996,DOWN
04/05/2016,0,-9.760009,DOWN
05/05/2016,0.033333333,-11.029999,DOWN
06/05/2016,0.1125,3.399994,UP
07/05/2016,0.171428571,-3.0049975,DOWN
08/05/2016,0,-1.50249875,DOWN
09/05/2016,0.6,-1.50249875,DOWN
10/05/2016,0,-0.229996,DOWN
11/05/2016,0.1,0.270005,UP
12/05/2016,0.141666667,-1.680008,DOWN
13/05/2016,0.35,0.330002,UP
14/05/2016,0.215,0.339996,UP
15/05/2016,0,0.169998,UP
