Date,Daily Change,Sentiment
04/01/2016,-2.074998875,0.25
05/01/2016,0.019989,0.128787879
06/01/2016,-4.39,0
07/01/2016,-3.389999,0.169444444
08/01/2016,-4.649994,0
09/01/2016,-1.574997,0.2
10/01/2016,-0.7874985,0.21
11/01/2016,-0.7874985,0.025
12/01/2016,2.119995,0.08
13/01/2016,-9.660003,-0.083333333
14/01/2016,5.869995,0
15/01/2016,-1.189988,0
16/01/2016,-0.135002,0.227160494
17/01/2016,-0.067501,0.110708333
18/01/2016,-0.0337505,0.1
19/01/2016,-0.0337505,0.341666667
20/01/2016,-6.020004,0
21/01/2016,1.270004,0
22/01/2016,2.580002,0.175
23/01/2016,-3.084999,0.5
24/01/2016,-1.5424995,0.5
25/01/2016,-1.5424995,0
26/01/2016,-2.820007,-0.3
27/01/2016,-5.489991,0
28/01/2016,1.62999,0
29/01/2016,1.5,0
30/01/2016,2.8700025,0.171428571
31/01/2016,1.43500125,0.5
01/02/2016,1.43500125,0
02/02/2016,-14.160003,0
03/02/2016,-9.300003,-0.044444444
04/02/2016,1.850006,0.068181818
05/02/2016,-12.729996,0.05
06/02/2016,-7.3050005,0
07/02/2016,-3.65250025,0
08/02/2016,-3.65250025,0
09/02/2016,0.259995,0.275
10/02/2016,-4.580002,0.266666667
11/02/2016,6.800003,0.174074074
12/02/2016,0.569992,0
13/02/2016,2.0650025,0
14/02/2016,1.03250125,0
15/02/2016,0.516250625,0
16/02/2016,0.516250625,0.228571429
17/02/2016,13.509995,-0.025
18/02/2016,-1.909989,0.214583333
19/02/2016,-0.190002,0.025
20/02/2016,5.5800015,0
21/02/2016,2.79000075,0.248380952
22/02/2016,2.79000075,0.35
23/02/2016,-0.529998,0
24/02/2016,1.789993,-0.005555556
25/02/2016,8.429993,0
26/02/2016,2.910003,0.3
27/02/2016,0.7949985,0.321666667
28/02/2016,0.39749925,0.210416667
29/02/2016,0.39749925,0.025
01/03/2016,-5.579987,0.239214286
02/03/2016,1.98999,0.16
03/03/2016,7.400009,0.175
04/03/2016,5.299988,0
05/03/2016,2.125,0.254861111
06/03/2016,1.0625,0.29
07/03/2016,1.0625,0
08/03/2016,-2.689987,0.375
09/03/2016,6.119995,0.15
10/03/2016,-3.540008,0.188888889
11/03/2016,2.320007,0
12/03/2016,3.824997,0.138095238
13/03/2016,1.9124985,0.35
14/03/2016,1.9124985,0
15/03/2016,3.190002,0
16/03/2016,3.589997,0.151719577
17/03/2016,4.450012,0
18/03/2016,6.36,0.108333333
19/03/2016,2.790001,0.1
20/03/2016,1.3950005,0.095238095
21/03/2016,1.3950005,0.028125
22/03/2016,-4.080002,0.066666667
23/03/2016,-11.660003,0.096428571
24/03/2016,5.169998,0
25/03/2016,1.2549975,0.155555556
26/03/2016,0.62749875,0
27/03/2016,0.31374935,0
28/03/2016,0.62749875,0
29/03/2016,-0.12999,0.25
30/03/2016,-3.240006,0.216666667
31/03/2016,2.880005,0.055341682
01/04/2016,7.819992,0.118543857
02/04/2016,4.7000045,0.048503401
03/04/2016,2.35000225,0.120165414
04/04/2016,2.35000225,0.137037037
05/04/2016,8.479996,0.325
06/04/2016,9.950012,0.105357143
07/04/2016,-8.220001,0.108333333
08/04/2016,-7.130005,0.175
09/04/2016,-0.0750045,0.1
10/04/2016,-0.03750225,0.025
11/04/2016,-0.03750225,0.55
12/04/2016,-2.099991,-0.008333333
13/04/2016,6.709992,1
14/04/2016,-2.669998,0.6
15/04/2016,2.649994,0
16/04/2016,-0.314995,0
17/04/2016,-0.1574975,0.1
18/04/2016,-0.1574975,0.25
19/04/2016,-6.51001,0
20/04/2016,2.600006,0.138095238
21/04/2016,-1.680008,0.357142857
22/04/2016,5.460007,0.2
23/04/2016,-0.9649965,0
24/04/2016,-0.48249825,0.5
25/04/2016,-0.48249825,0.068181818
26/04/2016,1.919998,0
27/04/2016,-2.270004,0.032539683
28/04/2016,-3.759994,0.375
29/04/2016,-6.950012,-0.0125
30/04/2016,0.520004,0.088461539
01/05/2016,0.260002,0.115705128
02/05/2016,0.260002,0.215
03/05/2016,-9.479996,0
04/05/2016,-9.760009,0
05/05/2016,-11.029999,0.033333333
06/05/2016,3.399994,0.1125
07/05/2016,-3.0049975,0.171428571
08/05/2016,-1.50249875,0
09/05/2016,-1.50249875,0.6
10/05/2016,-0.229996,0
11/05/2016,0.270005,0.1
12/05/2016,-1.680008,0.141666667
13/05/2016,0.330002,0.35
14/05/2016,0.339996,0.215
15/05/2016,0.169998,0
16/05/2016,0.169998,0.089821429
17/05/2016,-3.629989,0.1125
18/05/2016,6.509994,0.131150794
19/05/2016,4.040009,0.266666667
20/05/2016,5.069992,0
21/05/2016,-2.029999,0.225
22/05/2016,-1.0149995,0.5
23/05/2016,-1.0149995,0
24/05/2016,1.690003,0.15
25/05/2016,1.669998,0.120833333
26/05/2016,5.539993,0.05
27/05/2016,-2.080002,0.436666667
