Sentiment,Previous,Direction
0.05,-1,-1
0.109074074,-1,-1
0,-1,-1
0.176136364,-1,-1
0.188911565,-1,1
0,1,1
0.156770833,1,-1
0,-1,1
-0.014285714,1,1
0.65,1,1
-0.0625,1,-1
0,-1,-1
0,-1,-1
0,-1,-1
0,-1,1
0,1,1
0.33,1,1
0.4,1,1
0.2875,1,1
-0.475,1,1
0,1,1
0,1,-1
0,-1,-1
0,-1,-1
-0.13,-1,-1
0,-1,1
0.098611111,1,1
0.33125,1,1
0.013888889,1,1
0.130668934,1,1
0,1,1
0.141666667,1,-1
0.285714286,-1,-1
0.1375,-1,-1
0.05,-1,-1
0.312202381,-1,1
0.296768708,1,1
0.202651515,1,1
0.033333333,1,-1
0.040183983,-1,1
0.210714286,1,-1
0,-1,1
0.0125,1,1
0,1,1
0,1,1
-0.025,1,-1
0.344444444,-1,-1
0.7,-1,1
0.193257576,1,1
0.092272727,1,-1
0,-1,-1
0,-1,-1
0,-1,-1
0,-1,-1
0,-1,1
0,1,-1
0,-1,-1
0,-1,-1
0,-1,-1
0.155238095,-1,1
0.171428571,1,-1
0.233333333,-1,-1
0,-1,1
0,1,-1
0,-1,-1
0,-1,-1
0,-1,-1
0.275,-1,-1
0,-1,1
0,1,1
0,1,-1
0.275,-1,-1
0.4,-1,-1
0,-1,1
0.275,1,-1
0,-1,-1
0.5,-1,-1
0,-1,-1
0.166666667,-1,-1
0,-1,-1
0.2,-1,-1
0.19125,-1,1
0.095833333,1,-1
0,-1,-1
0.25,-1,1
0,1,1
0,1,1
0,1,1
0,1,-1
0,-1,-1
0.055694444,-1,-1
-0.5,-1,1
0,1,1
0,1,1
0.147272727,1,-1
0.5,-1,1
0,1,1
0.057142857,1,1
0.282224026,1,1
0,1,1
0.5,1,1
0,1,-1
0.097111128,-1,1
0.087310606,1,1
0.8,1,1
0.418181818,1,1
0,1,1
0.030208333,1,1
0.197727273,1,-1
0.128736773,-1,1
0,1,-1
0.25,-1,1
0,1,1
0.345833333,1,1
0.068181818,1,1
-0.0125,1,-1
0.0875,-1,-1
0.3,-1,-1
0.054166667,-1,-1
0,-1,1
0.13,1,1
0.195833333,1,1
0.318181818,1,-1
0,-1,1
-0.088888889,1,-1
0,-1,-1
0,-1,-1
0.1,-1,-1
0.090909091,-1,-1
0,-1,1
-0.025505051,1,1
0.088999369,1,-1
0.4,-1,1
-0.025,1,1
0.025,1,1
0.407727273,1,1
0,1,-1
0.25,-1,-1
-0.03125,-1,1
0.093030303,1,-1
0.025228475,-1,-1
0,-1,-1
0.1,-1,-1
0,-1,-1
0,-1,-1
0.222777778,-1,-1
0.14029321,-1,1
0.217687075,1,1
0,1,1
0.5,1,1
0.35,1,1
-0.6,1,-1
0.225,-1,-1
0,-1,1
0,1,-1
0,-1,-1
0.285714286,-1,-1
0.25,-1,1
-0.005462863,1,1
0.193303571,1,1
0,1,-1
0.170833333,-1,-1
0,-1,-1
0,-1,-1
0.1,-1,1
0.066666667,1,1
0.6,1,1
0,1,1
0,1,-1
0,-1,-1
0.375,-1,-1
0,-1,-1
0,-1,-1
0.1,-1,-1
0.2,-1,-1
0,-1,1
0,1,1
0,1,1
0,1,-1
-0.108333333,-1,1
0,1,-1
0,-1,-1
0.090909091,-1,1
0.230952381,1,1
0,1,1
0,1,1
0,1,1
0,1,-1
0,-1,1
-0.342857143,1,1
0.05,1,1
0,1,1
0,1,1
0,1,-1
-0.025,-1,1
0.127678571,1,1
0.091981793,1,1
0,1,1
0,1,1
0.8,1,1
0,1,1
0.3,1,-1
0.167045455,-1,-1
-0.086868687,-1,1
0,1,1
0,1,1
0,1,1
0,1,1
-0.155555556,1,-1
0,-1,1
0.3,1,1
0.108417508,1,1
0,1,1
0.35,1,-1
0.21,-1,-1
0.197004913,-1,-1
0,-1,1
0.35,1,-1
0,-1,-1
0.041666667,-1,-1
0,-1,-1
0.4,-1,1
0.20842803,1,1
0,1,1
-0.003703704,1,1
0.007700893,1,1
0.1875,1,1
0.242708333,1,1
0.055357143,1,-1
0,-1,-1
0.370484007,-1,1
-0.00625,1,-1
0.191150794,-1,-1
0.151190476,-1,-1
0,-1,1
0,1,-1
0,-1,1
0,1,-1
0.104995332,-1,1
0.140343065,1,1
0,1,1
0.0375,1,-1
0,-1,1
0,1,1
-0.016666667,1,1
0.15,1,1
0,1,1
0,1,1
0,1,1
0.475,1,-1
0.333862434,-1,-1
0.089583333,-1,1
0.131219336,1,1
0,1,1
0,1,1
0,1,1
0,1,-1
1,-1,-1
0.214095238,-1,1
0.333333333,1,-1
0,-1,-1
0.325,-1,-1
0.458333333,-1,1
0,1,1
0.65,1,1
0,1,1
0,1,-1
0.4,-1,-1
0.05,-1,-1
0,-1,-1
0,-1,-1
0,-1,-1
0.15,-1,-1
0.411904762,-1,1
0.203285137,1,1
0.5,1,1
-0.033333333,1,1
0,1,-1
0.4,-1,1
0,1,-1
0,-1,1
0,1,1
0,1,1
0,1,-1
0,-1,1
0,1,-1
0.044186354,-1,1
0,1,1
0,1,1
0,1,1
0.051428571,1,1
-0.1,1,-1
-0.1,-1,1
0.15675,1,1
0.055,1,1
0.06875,1,1
-0.066666667,1,1
0,1,1
0,1,-1
0.285714286,-1,1
0.022222222,1,1
0,1,1
0,1,1
0,1,1
0,1,-1
0.15,-1,-1
0.033333333,-1,1
0,1,-1
0,-1,-1
0,-1,-1
0.15,-1,-1
-0.5,-1,-1
0,-1,1
0.136363636,1,-1
0,-1,1
0.8,1,1
-0.125,1,1
0.145,1,1
0,1,1
0,1,-1
0.166666667,-1,-1
-0.53125,-1,1
0,1,1
0,1,1
-0.087037037,1,1
0,1,-1
0,-1,-1
0.85,-1,-1
0.078205128,-1,1
0,1,-1
0.45,-1,-1
0,-1,-1
0.35,-1,1
0.15969697,1,1
0.1125,1,-1
-0.222916667,-1,1
0.08,1,-1
-0.016666667,-1,-1
0,-1,-1
0,-1,1
-0.032777778,1,-1
0,-1,1
0,1,-1
-0.063888889,-1,-1
0,-1,-1
0.106246298,-1,-1
0.197118507,-1,-1
0.132053872,-1,1
0.041666667,1,1
0.033333333,1,1
0,1,1
0.125,1,1
0.05,1,1
0,1,1
0.291666667,1,1
0.163333333,1,-1
0.7,-1,-1
0.125,-1,1
0.355208333,1,1
0.15219697,1,1
-0.114102564,1,1
0.252604167,1,1
0.109331956,1,1
0.081405574,1,-1
-0.075,-1,1
0.046590909,1,1
0,1,1
0.174285714,1,1
0,1,1
0,1,-1
0.13,-1,-1
0.04375,-1,-1
0.045454546,-1,-1
-0.096428571,-1,-1
0.2,-1,1
0.047619048,1,1
0.086666667,1,1
0.153472222,1,1
0,1,-1
0.077923481,-1,-1
0.235,-1,-1
0,-1,-1
0,-1,1
0.027777778,1,-1
0.151904762,-1,1
0.35,1,-1
0.415740741,-1,-1
0.067045455,-1,-1
0.255952381,-1,-1
0.466666667,-1,-1
0.25,-1,-1
0,-1,1
0,1,1
-0.008333333,1,1
0,1,1
0.19205748,1,1
0.13375,1,1
0.226785714,1,-1
0.110744048,-1,1
0.063888889,1,-1
0,-1,-1
-0.066640693,-1,-1
0,-1,1
0.25,1,-1
-0.014590774,-1,1
0.225,1,-1
-0.133333333,-1,1
0,1,1
0,1,1
0.084183674,1,-1
0.015555556,-1,1
0,1,-1
0.037066667,-1,1
0.099705387,1,-1
0.125833333,-1,-1
0.3,-1,-1
0.5,-1,-1
0.25,-1,1
0,1,1
0,1,1
-0.071428571,1,-1
-0.021590909,-1,-1
0.025,-1,-1
0,-1,1
0,1,-1
0.03125,-1,-1
0.233964647,-1,1
0.159259259,1,1
0.025,1,1
0.203492064,1,1
0.016666667,1,-1
0,-1,1
0,1,-1
0.066666667,-1,-1
0.097727273,-1,-1
0.081845238,-1,-1
0.06,-1,-1
0.075,-1,1
-0.000189394,1,1
0,1,1
-0.008134921,1,-1
-0.0625,-1,-1
0.076226551,-1,-1
-0.006557099,-1,-1
0.146428571,-1,1
0.041666667,1,1
0.0825,1,1
0,1,-1
0,-1,-1
0,-1,-1
0.052857143,-1,-1
0,-1,-1
0,-1,-1
0.136363636,-1,1
0,1,-1
0,-1,1
0,1,1
0,1,1
0.125,1,-1
-0.5,-1,1
0.215333333,1,1
0,1,1
0.125,1,1
0,1,1
0,1,1
0.2875,1,-1
0.366666667,-1,-1
0,-1,-1
0.1,-1,-1
0,-1,-1
0.25,-1,-1
0.260416667,-1,-1
0.175,-1,1
0.07034632,1,-1
0.25,-1,-1
0.073462302,-1,1
0,1,1
0,1,1
0.271428571,1,1
0,1,1
0,1,1
0.347083333,1,1
0.085631937,1,1
0.25,1,-1
0.052380952,-1,-1
0,-1,-1
0.333928571,-1,1
0.182285714,1,-1
0.127777778,-1,1
0,1,-1
0,-1,-1
0.65,-1,-1
0.366666667,-1,-1
0,-1,1
-0.25,1,1
-0.140625,1,-1
0.2375,-1,-1
0.083333333,-1,-1
0,-1,-1
0,-1,-1
0.109090909,-1,1
0,1,-1
-0.158333333,-1,1
0,1,-1
-0.4875,-1,-1
0,-1,-1
0.08,-1,-1
0,-1,1
0,1,-1
0,-1,-1
0,-1,1
0,1,-1
0,-1,-1
0,-1,-1
-0.166666667,-1,1
0,1,-1
-0.133333333,-1,-1
0.5,-1,-1
0,-1,1
0.039393939,1,1
0.071428571,1,1
0,1,-1
-0.00247114,-1,1
0,1,1
0.045454546,1,1
0,1,-1
0.17,-1,-1
0.7,-1,-1
-0.111111111,-1,1
0,1,-1
-0.145833333,-1,1
0,1,1
0.5,1,1
0.183333333,1,1
0.05,1,1
-0.006666667,1,1
0,1,-1
0.021219697,-1,1
0.068181818,1,-1
0.094940476,-1,-1
-0.180769231,-1,-1
0,-1,-1
0,-1,-1
0,-1,1
0,1,-1
0,-1,1
0,1,1
0,1,1
-0.223958333,1,1
0,1,1
-0.322575758,1,-1
0.120833333,-1,-1
-0.370486111,-1,1
0,1,-1
0.063888889,-1,-1
0,-1,-1
0.2,-1,-1
0.048214286,-1,-1
0.037929068,-1,1
0,1,-1
-0.048300866,-1,-1
0.130952381,-1,-1
-0.025,-1,-1
0.165926001,-1,-1
0,-1,-1
0,-1,1
0,1,-1
0,-1,1
0,1,1
0,1,1
0,1,1
0.0925,1,-1
0,-1,-1
-0.1,-1,1
0,1,1
0.479545455,1,1
-0.05,1,1
0.225,1,-1
0,-1,1
0,1,1
0.258333333,1,-1
0.425,-1,1
0,1,1
0.086309524,1,1
0,1,1
0,1,1
0,1,-1
0,-1,1
0,1,1
0,1,1
0,1,1
0,1,1
0.114814815,1,-1
0,-1,-1
0,-1,1
0.077777778,1,1
0.129722222,1,1
0.160763889,1,1
0,1,-1
0.118571429,-1,1
-0.042857143,1,-1
0.041666667,-1,-1
0,-1,-1
-0.105,-1,-1
-0.044444444,-1,-1
0.017132867,-1,1
0.205,1,1
0,1,-1
0,-1,-1
0,-1,1
0.133333333,1,1
0.061666667,1,1
0,1,1
0,1,-1
0,-1,1
0,1,1
0.068181818,1,-1
0.5,-1,-1
0,-1,-1
-0.1875,-1,-1
-0.030333333,-1,-1
0.059478022,-1,1
0.358333333,1,1
0.357142857,1,1
-0.1,1,1
0,1,1
0.047588384,1,-1
0,-1,-1
0,-1,-1
0,-1,1
-0.5,1,-1
0.193333333,-1,-1
0,-1,-1
0.203125,-1,-1
0.1025,-1,1
0.0775,1,-1
0.017297464,-1,-1
-0.125,-1,1
-0.220138889,1,1
0.8,1,1
0,1,-1
0.139393939,-1,-1
-0.041666667,-1,-1
0,-1,-1
0,-1,-1
0.2,-1,-1
0,-1,-1
-0.024354658,-1,-1
-0.077777778,-1,1
0.100566101,1,-1
-0.006181818,-1,-1
-0.075,-1,1
0,1,1
-0.001755652,1,1
0.05995671,1,-1
0.2,-1,-1
0.116666667,-1,1
0.028733766,1,-1
0.525,-1,-1
0.230777159,-1,-1
0.150562771,-1,-1
0,-1,1
-0.016666667,1,1
0.25,1,1
0.105984849,1,-1
0.5,-1,-1
-0.001851852,-1,-1
0.094444444,-1,-1
0.104166667,-1,1
0.1,1,-1
0.283333333,-1,-1
0.113486395,-1,1
0,1,-1
-0.05,-1,-1
0.046666667,-1,-1
0.0875,-1,-1
0.404761905,-1,1
0.256969697,1,1
0.333333333,1,-1
0.25,-1,-1
0.4,-1,-1
0.5,-1,-1
0.05,-1,1
0.16,1,-1
0,-1,1
0.077272727,1,1
0,1,-1
0,-1,-1
0,-1,-1
0.5,-1,1
0.016666667,1,1
0.8,1,-1
0.098670529,-1,1
0.067166667,1,1
0.384375,1,1
-0.125,1,1
0,1,-1
0.047619048,-1,1
0.025555556,1,-1
0.073248457,-1,-1
0,-1,-1
0.233333333,-1,-1
0.134744145,-1,-1
0,-1,-1
-0.516666667,-1,1
0.266666667,1,-1
-0.041937229,-1,-1
0.15,-1,1
0.152340252,1,1
0.120412214,1,1
0.149318996,1,-1
0.145559965,-1,1
0.139284061,1,-1
0.021380854,-1,1
0.100255326,1,1
0.064976294,1,1
0.083333333,1,1
0.205125661,1,1
0.144911458,1,1
0.1234375,1,-1
0.152287879,-1,1
0.040327381,1,1
0.141774892,1,1
0.0125,1,1
0.20959596,1,-1
0.05,-1,1
-0.010602679,1,-1
0.133217593,-1,1
0.049784512,1,1
0.098278236,1,1
0.25,1,1
0.084873737,1,1
-0.034895833,1,1
0,1,1
-0.034765625,1,1
0.149718615,1,1
0.098118236,1,1
0.225,1,1
0.078031488,1,-1
0.065010251,-1,1
0.004545455,1,-1
0.121456916,-1,-1
0.034210526,-1,-1
0.083333333,-1,-1
0.167169685,-1,-1
-0.077414773,-1,1
0.149475745,1,1
0.166856061,1,1
0.105208333,1,-1
-0.233333333,-1,-1
0,-1,-1
0.175,-1,-1
0,-1,-1
0.2325,-1,-1
0.139106823,-1,-1
