Date,Adj Close
2015-07-01,269.149994
2015-07-02,280.019989
2015-07-06,279.720001
2015-07-07,267.880005
2015-07-08,254.960007
2015-07-09,257.920013
2015-07-10,259.149994
2015-07-13,262.160004
2015-07-14,265.649994
2015-07-15,263.140015
2015-07-16,266.679993
2015-07-17,274.660004
2015-07-20,282.260010
2015-07-21,266.769989
2015-07-22,267.869995
2015-07-23,267.200012
2015-07-24,265.410004
2015-07-27,253.009995
2015-07-28,264.820007
2015-07-29,263.820007
2015-07-30,266.790009
2015-07-31,266.149994
2015-08-03,259.989990
2015-08-04,266.279999
2015-08-05,270.130005
2015-08-06,246.130005
2015-08-07,242.509995
2015-08-10,241.139999
2015-08-11,237.369995
2015-08-12,238.169998
2015-08-13,242.509995
2015-08-14,243.149994
2015-08-17,254.990005
2015-08-18,260.720001
2015-08-19,255.250000
2015-08-20,242.179993
2015-08-21,230.770004
2015-08-24,218.869995
2015-08-25,220.029999
2015-08-26,224.839996
2015-08-27,242.990005
2015-08-28,248.479996
2015-08-31,249.059998
2015-09-01,238.630005
2015-09-02,247.690002
2015-09-03,245.570007
2015-09-04,241.929993
2015-09-08,248.169998
2015-09-09,248.910004
2015-09-10,248.479996
2015-09-11,250.240005
2015-09-14,253.190002
2015-09-15,253.570007
2015-09-16,262.250000
2015-09-17,262.070007
2015-09-18,260.619995
2015-09-21,264.200012
2015-09-22,260.940002
2015-09-23,261.059998
2015-09-24,263.119995
2015-09-25,256.910004
2015-09-28,248.429993
2015-09-29,246.649994
2015-09-30,248.399994
2015-10-01,239.880005
2015-10-02,247.570007
2015-10-05,246.149994
2015-10-06,241.460007
2015-10-07,231.960007
2015-10-08,226.720001
2015-10-09,220.690002
2015-10-12,215.580002
2015-10-13,219.250000
2015-10-14,216.880005
2015-10-15,221.309998
2015-10-16,227.009995
2015-10-19,228.100006
2015-10-20,213.029999
2015-10-21,210.089996
2015-10-22,211.720001
2015-10-23,209.089996
2015-10-26,215.259995
2015-10-27,210.350006
2015-10-28,212.960007
2015-10-29,211.630005
2015-10-30,206.929993
2015-11-02,213.789993
2015-11-03,208.350006
2015-11-04,231.630005
2015-11-05,231.770004
2015-11-06,232.360001
2015-11-09,225.330002
2015-11-10,216.500000
2015-11-11,219.080002
2015-11-12,212.940002
2015-11-13,207.190002
2015-11-16,214.309998
2015-11-17,214.000000
2015-11-18,221.070007
2015-11-19,221.800003
2015-11-20,220.009995
2015-11-23,217.750000
2015-11-24,218.250000
2015-11-25,229.639999
2015-11-27,231.610001
2015-11-30,230.259995
2015-12-01,237.190002
2015-12-02,231.990005
2015-12-03,232.710007
2015-12-04,230.380005
2015-12-07,231.130005
2015-12-08,226.720001
2015-12-09,224.520004
2015-12-10,227.070007
2015-12-11,217.020004
2015-12-14,218.580002
2015-12-15,221.089996
2015-12-16,234.509995
2015-12-17,233.389999
2015-12-18,230.460007
2015-12-21,232.559998
2015-12-22,229.949997
2015-12-23,229.699997
2015-12-24,230.570007
2015-12-28,228.949997
2015-12-29,237.190002
2015-12-30,238.089996
2015-12-31,240.009995
2016-01-04,223.410004
